CASRN,Set,Mol Formula,Chem Name,logKow_exp,logKow_pred,Residual,Reference
55332-89-3, ,C6H6Br2CL4,"2,3-DiBr-tetrachlorocyclohexane",3.99,4.44,0.45,"Hansch,C & Leo,A (1985)"
55344-28-0,N,C14H17N3,OCTAHYDROPYRAZINO2161PYRIDO34BINDOLE,0.36,0.83,0.47,BioByte (1995)
55379-70-9, ,C13H19N1O2,2-s-Butylphenyldimethylcarbamate,3.31,3.27,-0.04,"Hansch,C & Leo,A (1985)"
55379-71-0, ,C11H13N1O2,RH-1908 O-Ph N-butylene carbamate,2.73,2.45,-0.28,"Nandihalli,UB et al. (1993)"
55380-34-2,T,C6H12N4O2,"2,6-DiMe-N,N'-dinitrosopiperazine",0.08,0.1,0.02,"Hansch,C & Leo,A (1985)"
55390-39-1,T,C19H18CL1N3O6S1,5HYDROXYCLOXACILLIN,2.0,1.86,-0.14,Sangster (1994)
55469-64-2, ,C8H12N4O2S1,4(33-DiMeTriazeno)benzenesulfonamide,1.06,0.78,-0.28,"Hansch,C & Leo,A (1985)"
55486-68-5,N,C6H8S3,"4-Ethyl-5-methyl-1,2-dithiole-3-thione",2.94,3.03,0.09,"Bona,M et al. (1995)"
55538-69-7,N,C12H8CL2O1,"3,4-Dichlorodiphenyl ether",4.99,5.34,0.35,"Kurz,J & Ballschmiter,K (1999)"
55556-85-9, ,C5H10N2O2,3-OH-N-nitrosopiperidine,-0.47,-0.52,-0.05,"Hansch,C et al. (1995)"
55556-86-0,T,C6H12N2O1,"2,5-Dimethyl-N-nitrosopyrrolidine",0.86,1.07,0.21,"Hansch,C & Leo,A (1985)"
55556-88-2,T,C6H12N4O2,"2,5-DiMe-N,N'-dinitrosopiperazine",0.15,0.1,-0.05,"Hansch,C & Leo,A (1985)"
55556-91-7,T,C5H8N2O2,N-Nitroso-4-piperidone,-0.47,-0.73,-0.26,"Hansch,C & Leo,A (1985)"
55556-92-8,N,C5H8N2O1,"Pyridine, 1,2,3,6-tetrahydro-1-nitroso-",1.18,0.51,-0.67,Sangster (1993)
55556-93-9, ,C5H10N2O2,4-OH-N-nitrosopiperidine,-0.89,-0.82,0.07,"Hansch,C & Leo,A (1985)"
55556-94-0,T,C5H10N4O2,"2-Me-N,N'-dinitrosopiperazine",-0.28,-0.31,-0.03,"Hansch,C & Leo,A (1985)"
55557-00-1,N,C5H10N4O2,"1,4-Diazepine, hexahydro-1,4-dinitroso-",-0.51,-0.74,-0.23,"Hansch,C & Leo,A (1985)"
55565-48-5, ,C22H26N2O5,Benzyloxycarbonyl-Ph alaninylvaline,2.88,3.26,0.38,"Hansch,C & Leo,A (1985)"
55653-03-7,T,C9H5CL1N4,"Propanedinitrile,(2-CL-Ph-hydrazono)-",3.12,3.15,0.5,BioByte (1995)
55653-08-2,N,C10H8N4,CARBONYLCYANIDE2METHYLPHENYLHYDRAZONE,2.38,3.05,0.67,BioByte (1995)
55653-13-9,N,C9H5N5O2,"Propanedinitrile,[2-NO2 Ph]hydrazono-",2.9,2.32,-0.58,"Sturdik,E et al. (1985)"
55653-16-2,T,C11H8N4O1,"Propanedinitrile,(4-acetyl-Ph)hydrazono-",2.1,2.19,0.09,"Sturdik,E et al. (1985)"
55685-55-7,N,C13H11N3O3,"Benzoic acid,4-NO2,1-Ph hydrazide",2.48,1.11,-1.37,"Britto,MM et al. (1999)"
55685-56-8,N,C14H14N2O2,N-4-Methoxybenzoyl-N-phenylhydrazine,2.83,1.38,-1.45,"Britto,MM et al. (1999)"
55687-40-6, ,C15H18N4O4,"24-NH2pyrimidn,5(35MeO-4-CO2Me)benzyl",0.95,1.21,0.26,"Hansch,C & Leo,A (1985)"
55687-46-2, ,C17H22N4O4,"24NH2pyrimidn,5(35MeO-4CO2iPr)benzyl",1.72,2.12,0.4,"Hansch,C & Leo,A (1985)"
55687-48-4, ,C16H20N4O4,"24-NH2pyrimidn,5(35-MeO-4CO2Et)benzyl",1.25,1.71,0.46,"Hansch,C & Leo,A (1985)"
55687-49-5, ,C14H18N4O3,"24-NH2pyrimidn,5(35MeO-4-CH2OH)benzyl",0.42,0.46,0.04,"Hansch,C & Leo,A (1985)"
55687-53-1, ,C18H24N4O4,"24NH2pyrimidine,5(35-EtO-4CO2Et)benzyl",2.28,2.69,0.41,"Hansch,C & Leo,A (1985)"
55687-56-4, ,C18H26N4O3,"24NH2pyrimidine,5(35EtO4COHMe2)benzyl",2.46,2.32,-0.14,"Hansch,C & Leo,A (1985)"
55687-57-5, ,C14H17N5O3,"24-NH2pyrimidin,5(35MeO-4CONH2)benzyl",-0.85,-0.8,0.05,"Hansch,C & Leo,A (1985)"
55687-58-6, ,C14H15N5O2,"2,4-NH2pyrimidin,5(3,5MeO-4C#N)benzyl",1.39,0.93,-0.46,"Hansch,C & Leo,A (1985)"
55687-72-4,T,C18H24N4O5S1,"24NH2pyrimd,5(35EtO4COSO2Me)benzyl",0.79,0.8,0.01,"Hansch,C & Leo,A (1985)"
55687-73-5, ,C17H22N4O3,"24NH2pyrimidn,5(35EtO-4-acetyl)benzyl",2.04,2.04,0.0,"Hansch,C & Leo,A (1985)"
55687-74-6,T,C16H20N4O5S1,"24NH2pyrimidn,5(35MeO-4COCH2SO2Me)benzyl",-0.31,-0.18,0.13,"Hansch,C & Leo,A (1985)"
55687-76-8, ,C15H18N4O3,"2,4-NH2pyrimidn,5(3,5MeO-4-Ac)benzyl",1.1,1.06,-0.04,"Hansch,C & Leo,A (1985)"
55687-86-0, ,C15H20N4O3,"24NH2pyrimidin,5(35-MeO-4-MeO-CH2)benzyl",1.19,1.16,-0.03,"Hansch,C & Leo,A (1985)"
55687-91-7, ,C16H22N4O3,"24NH2pyrimidine,5(35-MeO-4-COHMe2)Benzyl",1.49,1.33,-0.16,"Hansch,C & Leo,A (1985)"
55692-91-6,N,C42H68O13,"Digitoxin, beta-methyl",3.11,1.89,-1.22,"Hansch,C et al. (1995)"
55702-45-9,T,C12H7CL3,"2,3,6-trichlorobiphenyl",5.67,5.69,0.02,"Hansch,C & Leo,A (1985)"
55702-46-0,N,C12H7CL3,"BIPHENYL, 2,3,4-TRICHLORO-",5.86,5.69,-0.17,BioByte (1995)
55720-37-1, ,C10H5CL3,"1,3,7-Trichloronaphthalene",5.35,5.1,-0.25,"Opperhuizen,A (1987)"
55720-40-6, ,C10H5CL3,"2,3,6-Trichloronaphthalene",5.12,5.1,-0.02,"Opperhuizen,A (1987)"
55720-43-9, ,C10H4CL4,"1,4,6,7-Tetrachloronaphthalene",5.81,5.75,-0.06,"Opperhuizen,A (1987)"
55720-47-3,N,C16H17N1O4,"L-Tyrosine, 3-hydroxy-, PhMe ester",1.5,1.77,0.27,"Marrel,C et al. (1985)"
55750-53-3, ,C10H13N1O4,N-Maleoyl-6-aminohexanoic acid,1.15,1.31,0.16,"Hansch,C et al. (1995)"
55752-22-2,N,C10H10N2O1,"1,2,4-Oxadiazole,5-methyl-3-(p-tolyl)",2.74,2.58,-0.16,"Hansch,C et al. (1995)"
55755-16-3,N,C9H13N1,"Benzeneethanamine, 2-methyl-",1.6,1.89,0.29,"Kril,MB & Fung,HL (1990)"
55782-76-8,N,C7H10N4O3,6-NH2-5(N-methylformylamino)-3-Me uracil,-2.03,-1.36,0.67,"Gaspari,F & Bonati,M (1987)"
55790-22-2,N,C9H8I1N1O3,"Glycine, N-(4-iodobenzoyl)-",1.94,1.63,-0.31,"Laznicek,M & Kvetina,J (1988)"
55792-16-0,N,C19H30N2O3,2PENTOXYCARBANILATEO2NPIPERIDINYLETHYL,4.97,4.86,-0.11,BioByte (1995)
55792-18-2,N,C20H32N2O3,2-HxO-carbanilate-O-2(N-piperdin)Et,5.29,5.35,0.06,"Hansch,C et al. (1995)"
55792-19-3,N,C20H32N2O3,3HxO-carbanilate-O-2(N-piperdin)Et,5.51,5.35,-0.16,"Hansch,C et al. (1995)"
55792-20-6,N,C20H32N2O3,4-HxO-carbanilate-O-2(N-piperdin)Et,5.41,5.35,-0.06,"Hansch,C et al. (1995)"
55792-21-7,N,C21H34N2O3,2HpO-carbanilate-O-2(N-piperdin)Et,5.62,5.84,0.22,"Hansch,C et al. (1995)"
55792-22-8,N,C21H34N2O3,3HpO-carbanilate-O-2(N-piperdin)Et,5.53,5.84,0.29,"Hansch,C et al. (1995)"
55792-23-9,N,C21H34N2O3,4HpO-carbanilate-O-2(N-piperdin)Et,5.87,5.84,-0.03,"Hansch,C et al. (1995)"
55792-24-0,N,C22H36N2O3,2-OctO-carbanilate-O-2(N-piperdin)Et,6.36,6.33,-0.03,"Hansch,C et al. (1995)"
55792-25-1,N,C22H36N2O3,3-OctO-carbanilate-O-2(N-piperdin)Et,5.82,6.33,0.51,"Hansch,C et al. (1995)"
55806-43-4,N,C22H25N3O4,R28935,3.43,2.11,-1.32,BioByte (1995)
55814-41-0,N,C17H19N1O2,Mepronil,3.66,4.24,0.58,"Hansch,C et al. (1995)"
55836-71-0, ,C9H11N1O2,p-Ethoxybenzamide,1.3,1.31,0.01,"Nakagawa,Y et al. (1992)"
55837-21-3,N,C24H31N1O3,Pipoxizine,3.78,2.88,-0.9,"Hansch,C et al. (1995)"
55837-23-5,N,C23H26F4N2O1S1,Teflutixol,4.47,4.65,0.18,"Hansch,C et al. (1995)"
55837-27-9,N,C17H18N2O5S1,Piretanide,3.92,2.52,-1.4,BioByte (1995)
55861-78-4,N,C10H17N3O2,Isouron,1.98,1.51,-0.47,"Tomlin,C (1994)"
55863-26-8,N,C16H12O3S1,Tiopinac,2.97,3.53,0.56,Sangster (1993)
55884-23-6,N,C10H17N5O2S1,"1,1-Ethanediamine imidazolyl deriv",-0.4,-0.22,0.18,Sangster (1994)
55903-47-4,N,C10H22I1N1O1,NNN-Me-N(3OH4MeCyPeMe)ammon I,-2.6,-3.03,-0.43,"Pratesi,P et al. (1986)"
55905-53-8,N,C20H24CL1N3O2,Clebopride,3.58,3.21,-0.37,"Hansch,C et al. (1995)"
55921-54-5, ,C6H11N5O1,24-NH2-6-EtAm pyrimidine-3-oxide,-0.04,-0.06,-0.02,"Hansch,C & Leo,A (1985)"
55921-55-6,T,C8H15N5O1,"2,4-DiNH2-6-BuAm-pyrimidine-3-oxide",1.02,0.92,-0.1,"Hansch,C & Leo,A (1985)"
55921-56-7, ,C14H27N5O1,24-NH2-6-decylaminopyrimidine-3-oxide,4.08,3.87,-0.21,"Hansch,C & Leo,A (1985)"
55921-57-8, ,C10H17N5O1,24NH2-6-cyHxAm-pyrimidine-3-oxide,1.62,1.72,0.1,"Hansch,C & Leo,A (1985)"
55921-58-9, ,C6H11N5O1,24-NH2-6-DiMeAm pyrimidine-3-oxide,0.16,-0.01,-0.17,"Hansch,C & Leo,A (1985)"
55921-60-3, ,C10H19N5O1,24NH2-6dipropylamino-pyrimidine-3-oxide,2.16,1.96,-0.2,"Hansch,C & Leo,A (1985)"
55921-61-4, ,C10H15N5O1,24NH2-6diallylamino-pyrimidine-3-oxide,1.6,1.68,0.08,"Hansch,C & Leo,A (1985)"
55921-62-5, ,C12H23N5O1,24NH2-6dibutylamino-pyrimidine-3-oxide,3.19,2.94,-0.25,"Hansch,C & Leo,A (1985)"
55921-63-6, ,C16H27N5O1,24NH2-6-dicycloHxAmpyrimidin-3-oxide,3.89,4.53,0.64,"Hansch,C & Leo,A (1985)"
55921-64-7,N,C8H13N5O2,"2,4-Pyrimidinediamine,6(4-morphol)3oxide",0.36,-0.39,-0.75,"Hansch,C & Leo,A (1985)"
55921-65-8, ,C8H13N5O1,24-NH2-6-pyrrolidin-pyrimidine-3-oxid,0.84,0.86,0.02,"Hansch,C & Leo,A (1985)"
55948-94-2,N,C22H36N2O3,4-OctO-carbanilate-O-2(N-piperdin)Et,6.44,6.33,-0.11,"Hansch,C et al. (1995)"
55973-02-9,N,C5H9N5O1,"246-Pyrimidineamine,N-Me-1-oxide",-0.49,-0.55,-0.06,"Hansch,C & Leo,A (1985)"
55985-32-5,N,C26H29N3O6,"3,5-Pyridinedicarboxylic acid,deriv",3.82,3.9,0.08,Sangster (1993)
55994-21-3,N,C18H16O2,"Indene-1,3(2H)-dione, 2-[4-(1-MeEt)Ph]-",4.43,4.27,-0.16,Sangster (1994)
55994-22-4,N,C23H26O2,"1H-Indene-1,3(2H)-dione, 2-(4-OcPh)-",6.93,6.8,-0.13,Sangster (1993)
55994-23-5,N,C19H18O2,"Indene-1,3-dione,2(3,5-diethylphenyl)-",4.94,4.89,-0.05,Sangster (1993)
55994-24-6,N,C21H22O2,"Indene-13-dione,2[35di(iPr)Ph]-",5.96,5.73,-0.23,Sangster (1993)
56010-86-7,N,C13H24N6O1,"Imidazol-4-carboxamid,5(3Me3Oct1triazeny",3.22,3.29,0.07,Sangster (1994)
56030-54-7,N,C22H30N2O2S1,Sufentanil,3.95,3.62,-0.33,Sangster (1993)
56046-08-3, ,C7H9CL5O1,3-Methoxypentachlorocyclohexane,3.51,3.24,-0.27,"Hansch,C & Leo,A (1985)"
56046-09-4, ,C7H9CL5S1,3-Methiopentachlorocyclohexane,3.85,4.09,0.24,"Hansch,C & Leo,A (1985)"
56058-99-2,N,C7H7F1N2O3,"2,4-Pyrimidinedione,5-F-1-(1-oxoPr)-",0.19,-0.63,-0.82,Sangster (1994)
56066-19-4, ,C13H17N5O2,"2,4-NH2pyrimidin,5(3,5MeO-4NH2)benzyl",0.83,0.46,-0.37,"Hansch,C & Leo,A (1985)"
56066-43-4, ,C15H21N5O2,"24NH2pyrimidine,5(3,5-EtO-4-NH2)benzyl",1.69,1.44,-0.25,"Hansch,C & Leo,A (1985)"
56066-63-8,N,C15H21N5O2,"24Pyrimdndiamin,5[[4(diMeAm)35diMeOPh]Me",1.51,1.56,0.05,Pomona (1987)
56070-15-6,T,C9H21O5P1S2,"Phosphorthioic acid,SO2 ester deriv",2.76,2.75,-0.01,Sangster (1994)
56070-16-7,T,C9H21O4S3P1,Terbufos sulfone,2.48,2.21,-0.27,"Hansch,C & Leo,A (1985)"
56073-10-0,N,C31H23Br1O3,Brodifacoum,8.5,8.51,0.01,"Tomlin,C (1997)"
56086-55-6, ,C6H6CL5F1,2-F-Pentachlorocyclohexane,3.19,3.95,0.76,"Hansch,C & Leo,A (1985)"
56108-12-4,T,C11H15N1O1,4-tert-Butylbenzamide,2.51,2.65,0.14,"Nakagawa,Y et al. (1992)"
56165-57-2,T,C9H21O4P1S2,"Phosphorothioic acid, SO ester deriv",2.66,2.63,-0.03,Sangster (1994)
56177-33-4,T,C10H13N1O1,2-Isopropylbenzamide,1.39,1.46,0.07,"Nakagawa,Y et al. (1992)"
56183-32-5, ,C12H13Br1N4O1,24NH2-5(3-Br-4-MeO-benzyl)pyrimidine,1.88,2.19,0.31,"Hansch,C & Leo,A (1985)"
56189-70-9,T,C9H11CL1N4O1,4-CL-3-Me-phenylamidino urea,2.19,2.23,0.04,"Hansch,C & Leo,A (1985)"
56209-30-4,N,C8H10N2O3,"7,9-Diazaspiro[4.5]decane-6,8,10-trione",0.24,0.49,0.25,"Prankerd,RJ & McKeown,RH (1992)"
56222-10-7,N,C9H10N2O3,N-Methyl-p-nitroacetanilide,0.91,1.46,0.55,"Hansch,C et al. (1995)"
56239-24-8, ,C9H16CL1N3O3,tr-1-NO-1(2CLEt)-3(4-OH CyHexyl)urea,1.0,1.43,0.43,"Hansch,C & Leo,A (1985)"
56245-60-4,N,C8H16O5S1,"Galactopyranoside, ethyl 1-thio-",-1.51,-1.66,-0.15,Sangster (1993)
56323-43-4, ,C9H16CL1N3O3,1-NO-1(CLEt)-3(2-OH CyHexyl)urea,1.75,1.43,-0.32,"Hansch,C & Leo,A (1985)"
56343-48-7,N,C7H11N3,"Pyrazinamine, N,N,6-trimethyl-",1.57,1.52,-0.05,"Yamagami,C et al. (1991)"
56344-90-2, ,C10H16N2O3,"Barbituric acid,5-Pr-5-Et-1-Me",1.65,1.31,-0.34,"Hansch,C & Leo,A (1985)"
56348-72-2,N,C12H6CL4O1,"3,3',4,4'-TETRACHLOROBIPHENYL ETHER",6.36,6.63,0.27,"Kurz,J & Ballschmiter,K (1999)"
56356-13-9,T,C14H13N1O3,2-Tolyl 4-aminosalicylate,3.14,3.49,0.35,"Hansch,C et al. (1995)"
56356-14-0,T,C14H13N1O3,3-Tolyl 4-aminosalicylate,3.64,3.49,-0.15,"Hansch,C et al. (1995)"
56356-15-1,T,C14H13N1O3,4-Tolyl 4-aminosalicylate,3.38,3.49,0.11,"Hansch,C et al. (1995)"
56356-16-2,N,C15H15N1O3,"Benzoic acid,4-Am-2-OH,26diMePh ester",3.88,4.04,0.16,Sangster (1993)
56356-17-3,T,C14H13N1O4,2-MeO phenyl 4-aminosalicylate,2.88,3.03,0.15,"Hansch,C et al. (1995)"
56356-18-4,T,C14H13N1O4,3-MeO phenyl 4-aminosalicylate,3.25,3.03,-0.22,"Hansch,C et al. (1995)"
56356-19-5, ,C16H17N1O3,"4-Aminosalicylic acid,4-iPr ester",4.12,4.4,0.28,"Hansch,C et al. (1995)"
56356-20-8, ,C16H17N1O3,"4-Aminosalicylic acid,2-iPr ester",4.28,4.4,0.12,"Hansch,C et al. (1995)"
56356-23-1,T,C13H12N2O3,3-Aminophenyl 4-aminosalicylate,2.08,2.03,-0.05,"Hansch,C et al. (1995)"
56356-24-2,T,C13H12N2O3,4-Aminophenyl 4-aminosalicylate,2.04,2.03,-0.01,"Hansch,C et al. (1995)"
56356-25-3,T,C13H10F1N1O3,2-Fluorophenyl 4-aminosalicylate,3.29,3.15,-0.14,"Hansch,C et al. (1995)"
56356-26-4,T,C13H10F1N1O3,3-Fluorophenyl 4-aminosalicylate,3.42,3.15,-0.27,"Hansch,C et al. (1995)"
56356-27-5,T,C13H10F1N1O3,4-Fluorophenyl 4-aminosalicylate,3.27,3.15,-0.12,"Hansch,C et al. (1995)"
56356-28-6,T,C13H10CL1N1O3,2-Chlorophenyl 4-aminosalicylate,3.72,3.59,-0.13,"Hansch,C et al. (1995)"
56356-29-7,T,C13H10CL1N1O3,3-Chlorophenyl 4-aminosalicylate,3.9,3.59,-0.31,"Hansch,C et al. (1995)"
56356-30-0,T,C13H10CL1N1O3,4-Chlorophenyl 4-aminosalicylate,3.6,3.59,-0.01,"Hansch,C et al. (1995)"
56356-31-1,T,C13H10Br1N1O3,2-Bromophenyl 4-aminosalicylate,3.74,3.84,0.1,"Hansch,C et al. (1995)"
56356-32-2,T,C13H10Br1N1O3,3-Bromophenyl 4-aminosalicylate,3.84,3.84,0.0,"Hansch,C et al. (1995)"
56356-33-3,T,C13H10Br1N1O3,4-Bromophenyl 4-aminosalicylate,3.46,3.84,0.38,"Hansch,C et al. (1995)"
56356-34-4,T,C14H10F3N1O3,3-CF3 phenyl 4-aminosalicylate,3.61,3.91,0.3,"Hansch,C et al. (1995)"
56400-11-4, ,C8H8CL5F3O1,3(CF3-MeO)pentachlorocyclohexane,4.15,4.15,0.0,"Hansch,C & Leo,A (1985)"
56400-12-5, ,C8H12CL4O2,"2,3-DiMeO tetrachlorocyclohexane",2.82,2.22,-0.6,"Hansch,C & Leo,A (1985)"
56400-36-3, ,C8H12CL4O2,"3,6-DiMeO tetrachlorocyclohexane",3.15,2.22,-0.93,"Hansch,C & Leo,A (1985)"
56400-43-2, ,C7H9CL5O1,1-HOMe pentachlorocyclohexane,2.94,3.03,0.09,"Hansch,C & Leo,A (1985)"
56406-50-9,T,C7H8CL1N3O2,m-NO2 benzamidine HCL,0.72,0.57,-0.15,"Hansch,C et al. (1995)"
56421-31-9, ,C7H9CL5O1,2-Methoxypentachlorocyclohexane,3.14,3.24,0.1,"Hansch,C & Leo,A (1985)"
56421-32-0, ,C8H11CL5O1,2-Ethoxypentachlorocyclohexane,3.69,3.73,0.04,"Hansch,C & Leo,A (1985)"
56421-35-3, ,C8H11CL5O1,3-Ethoxypentachlorocyclohexane,3.97,3.73,-0.24,"Hansch,C & Leo,A (1985)"
56421-36-4, ,C8H8CL5F3O1,1(CF3-MeO)pentachlorocyclohexane,4.06,4.11,0.05,"Hansch,C & Leo,A (1985)"
56421-44-4, ,C7H9CL5,1-Methylpentachlorocyclohexane,4.04,4.5,0.46,"Hansch,C & Leo,A (1985)"
56421-45-5, ,C8H12CL4,"1,4-Dimethyltetrachlorocyclohexane",4.4,4.73,0.33,"Hansch,C & Leo,A (1985)"
56423-63-3,T,C4H3Br1N2,2-Bromopyrazine,0.93,0.83,-0.1,"Yamagami,C et al. (1990a)"
56425-91-3,N,C15H15F3N2O2,Flurprimidol,3.34,3.07,-0.27,"Tomlin,C (1994)"
56462-00-1,N,C7H7CL2N1,"N-Methyl-2,6-dichloroaniline",2.91,2.91,0.0,"Hansch,C et al. (1995)"
56488-61-0,N,C20H24F1N3O4S1,Flubepride,2.46,2.06,-0.4,"Hansch,C et al. (1995)"
56514-55-7, ,C9H9CL2N3,"2-(2,5-DiCL Ph imino)imidazolidine",2.04,1.89,-0.15,"Hansch,C & Leo,A (1985)"
56518-41-3, ,C13H15Br1N4O2,"24-NH2pyrimidine,5(3,5MeO-4-Br)benzyl",2.01,2.27,0.26,"Hansch,C & Leo,A (1985)"
56518-45-7, ,C13H15CL1N4O2,"24-NH2pyrimidine,5(3,5MeO-4-CL)benzyl",1.87,2.02,0.15,"Hansch,C & Leo,A (1985)"
56518-58-2, ,C13H15I1N4O2,"2,4-NH2pyrimidine,5(3,5MeO-4-I)benzyl",2.4,2.55,0.15,"Hansch,C & Leo,A (1985)"
56534-02-2,N,C10H6CL6,alpha-Chlordene,5.66,5.19,-0.67,"Simpson,CD et al. (1995)"
56534-03-3,N,C10H6CL6,beta-Chlordene,5.62,5.19,-0.43,"Simpson,CD et al. (1995)"
56563-17-8,N,C11H8F1N3O3,Pyrimidinecarboxamide derivative,1.5,1.16,-0.34,"Buur,A & Bundgaard,H (1985)"
56563-18-9,N,C6H6F1N3O3,"Pyrimidincarboxamid,5F34diH-NMe24oxo",-0.2,-0.03,0.17,Sangster (1993)
56610-79-8,N,C9H10N4S1,1-Me-5[(PhMe)thio]-tetrazole,1.63,1.82,0.19,Pomona (1987)
56641-38-4,N,C10H6CL6,gamma-Chlordene,5.44,5.68,0.24,"Simpson,CD et al. (1995)"
56656-96-3,N,C8H3Br1N2O1,"Propanedinitril,[5-Br-2-furanyl)methylen",2.16,2.38,0.22,"Balaz,S et al. (1985)"
56656-97-4,N,C9H6Br1N1O3,"2Propenoic acid,3(5Br2furanyl)2CN,Me est",2.41,2.82,0.41,"Balaz,S et al. (1985)"
56689-42-0,N,C31H51N1O8,Repromicin,2.49,3.26,0.77,"McFarland, JW et al. (1997)"
56689-45-3,N,C42H69N1O15,Josamycin,2.39,3.16,0.77,"Hansch,C et al. (1995)"
56711-06-9, ,C8H16N2O2,"Iso-leucin-amide, N-acetyl",-0.03,-0.17,-0.14,"Hansch,C & Leo,A (1985)"
56751-20-3,N,C9H10N2O3,"Diazencarboxylicacid,Ph-,Et ester,2-oxid",2.53,2.47,-0.06,Pomona (1987)
56796-20-4,N,C15H17N7O5S3,5Thia-1azabicyclo[]oct-2ene-2-COOH deriv,-0.6,-0.94,-0.34,Sangster (1993)
56844-20-3, ,C7H7N3S1,"Thieno(23d)-pyrimidine,4(MeAmino)",1.43,1.58,0.15,"Hansch,C & Leo,A (1985)"
56846-39-0,N,C18H25N1O13,p-Nitrophenylmaltoside,-1.39,-2.92,-1.53,"Hansch,C et al. (1995)"
56875-80-0,N,C17H15CL1N2O3,"1,4-Benzodiazepin-2-one,oxide deriv",0.82,0.73,-0.09,Sangster (1994)
56875-82-2,N,C21H19CL1N2O5,"2H-1-Benzopyran-2-one, derivative",2.74,2.7,-0.04,Sangster (1993)
56875-83-3,N,C22H21CL1N2O5,"1,4-Benzodiazepin-2-one derivative",3.08,3.19,0.11,Sangster (1993)
56892-91-2,N,C12H9O2Na1,"CyPrcarboxylic acid,2(Ph ethynyl)Na salt",-0.61,-1.03,-0.42,Pomona (1987)
56933-31-4, ,C7H10CL4O1,2-Methoxytetrachlorocyclohexane,2.99,3.06,0.07,"Hansch,C & Leo,A (1985)"
56933-60-9, ,C26H35F1O6,Betamethasone-21-butyrate,3.55,3.44,-0.11,"Hansch,C et al. (1995)"
56961-20-7,N,C6H3CL3O2,"1,2-Benzenediol, 3,4,5-trichloro-",3.71,2.97,-0.74,Sangster (1994)
56980-93-9,N,C20H33N3O4,"Urea, derivative",1.92,1.93,0.01,Sangster (1994)
56994-23-1, ,C6H7CL5,3-Pentachlorocyclohexane,3.37,4.08,0.71,"Hansch,C & Leo,A (1985)"
56994-25-3, ,C6H7CL3,Trichlorocyclohexene (345),2.84,3.5,0.66,"Hansch,C & Leo,A (1985)"
57018-04-9,N,C9H11CL2O3P1S1,Tolclofos-methyl,4.56,4.77,0.21,"Tomlin,C (1994)"
57025-76-0, ,C15H9CL2F3O3,MC-15608  DiPh ether(24'CL-4CF3-3CO2Me),5.04,5.3,0.26,"Nandihalli,UB et al. (1993)"
57057-83-7, ,C7H5CL3O2,"3,4,5-Trichloro-2-methoxyphenol",3.77,3.27,-0.5,"Hansch,C et al. (1995)"
57078-98-5, ,C8H9N1O4,N-Maleoyl-4-aminobutyric acid,0.4,0.32,-0.08,"Hansch,C et al. (1995)"
57078-99-6,T,C9H11N1O4,N-Maleoyl-5-aminopentanoic acid,0.6,0.81,0.21,"Hansch,C et al. (1995)"
57079-00-2, ,C12H17N1O4,N-Maleoyl-8-aminooctanoic acid,1.99,2.29,0.3,"Hansch,C & Leo,A (1985)"
57079-05-7,T,C9H11N1O4,"N-Maleoyl-5-NH2propionic acid,Et est",0.41,0.61,0.2,"Hansch,C & Leo,A (1985)"
57079-07-9, ,C12H17N1O4,"N-Maleoyl-6-NH2hexanoic acid,Et ester",1.5,2.08,0.58,"Hansch,C & Leo,A (1985)"
57101-48-1, ,C9H9CL2N3O1,"2(2,6-DiCL-4-OHPh imino)imidazolidin",1.52,1.41,-0.11,"Hansch,C & Leo,A (1985)"
57117-31-4,N,C12H3CL5O1,"Dibenzofuran, 2,3,4,7,8-pentachloro-",6.92,6.94,0.02,"Sijm,DTHM et al. (1989)"
57117-37-0,N,C12H4CL4O1,"Dibenzofuran, 2,3,6,8-tetrachloro-",6.73,6.29,-0.44,"Sijm,DTHM et al. (1989)"
57117-38-1,N,C12H4CL4O1,"Dibenzofuran, 2,4,6,7-tetrachloro-",6.25,6.29,0.04,"Sijm,DTHM et al. (1989)"
57117-39-2,N,C12H4CL4O1,"Dibenzofuran, 2,3,6,7-tetrachloro-",6.31,6.29,-0.02,"Sijm,DTHM et al. (1989)"
57117-41-6,N,C12H3CL5O1,"Dibenzofuran, 1,2,3,7,8-pentachloro-",6.79,6.94,0.15,"Sijm,DTHM et al. (1989)"
57117-42-7,N,C12H3CL5O1,"Dibenzofuran, 1,2,3,6,7-pentachloro-",6.26,6.94,0.68,"Hansch,C et al. (1995)"
57237-97-5,N,C13H11N3O1S1,"1H-Benzimidazole, 2-[(2-pyridin-Me)SO]-",1.33,2.14,0.81,Pomona (1987)
57315-37-4,T,C10H10N2O2,"1,4-Dimethoxyphthalazine",2.22,2.19,-0.03,"Hansch,C et al. (1995)"
57334-34-6, ,C10H9N1O2,"4-Methyl-5,8-dihydroxyquinoline",1.59,1.73,0.14,"Hansch,C et al. (1995)"
57334-35-7,T,C10H9N1O2,5-Methoxy-8-quinolinol,2.06,1.74,-0.32,"Hansch,C et al. (1995)"
57334-36-8, ,C9H6CL1N1O1,4-Chloro-8-quinolinol,2.67,2.31,-0.36,"Hansch,C et al. (1995)"
57334-38-0, ,C11H11N1O2,4-Me-5-MeO-8-quinolinol,2.75,2.29,-0.46,"Hansch,C et al. (1995)"
57369-32-1,N,C11H11N1O1,Pyroquilon,1.57,1.8,0.23,"Tomlin,C (1994)"
