CAS,Name,Mol Wt,Boiling Pt (deg C),Reference
869-29-4,ALLYLIDENEDIACETATE,158.1554,180,
870-23-5,ALLYL MERCAPTAN,74.1453,65,
871-28-3,1-PENTEN-4-YNE,66.1036,42.5,
871-83-0,2-METHYLNONANE,142.2868,167.1,
871-84-1,"1,7-Octadiyne",106.1689,135.5,
872-05-9,1-DECENE,140.2709,170.5,
872-31-1,3-BROMOTHIOPHENE,163.0365,150,
872-50-4,N-METHYLPYRROLIDONE,99.1336,202,
872-53-7,CYCLOPENTANECARBOXALDEHYDE,98.146,133.5,
872-55-9,2-ETHYLTHIOPHENE,112.1947,134,
872-93-5,3-METHYL SULFOLANE,134.1983,276,
873-32-5,"Benzonitrile, 2-chloro-",137.5696,232,
873-49-4,CYCLOPROPYLBENZENE,118.1801,173.6,
873-63-2,M-CHLOROBENZYL ALCOHOL,142.5862,237,
873-66-5,TRANS-1-PHENYL-1-PROPENE,118.1801,178.3,
873-76-7,P-CHLOROBENZYL ALCOHOL,142.5862,235,
873-94-9,"Cyclohexanone, 3,3,5-trimethyl-",140.2273,189,
874-35-1,"1H-INDENE, 2,3-DIHYDRO-5-METHYL-",132.2071,202,
874-41-9,"1,3-DIMETHYL-4-ETHYLBENZENE",134.2231,188.4,
874-42-0,"2,4-Dichlorobenzaldehyde",175.0153,233,
874-60-2,"Benzoyl chloride, 4-methyl-",154.5974,226,
874-63-5,"3,5-Dimethylanisole",136.1954,194,
874-79-3,"BENZENE, (PROPYLTHIO)-",152.26,220,
874-90-8,"BENZONITRILE, 4-METHOXY-",133.1511,256.5,
875-30-9,"1H-INDOLE, 1,3-DIMETHYL-",145.2059,258.5,
875-40-1,"2,3,4,6-Tetrachlorotoluene",229.9219,276.5,
875-59-2,3-Methyl-4-acetylphenol,150.1789,313,
877-11-2,"2,3,4,5,6-PENTACHLOROTOLUENE",264.367,301,
877-43-0,"2,6-DIMETHYLQUINOLINE",157.217,266.5,
877-44-1,"BENZENE, 1,2,4-TRIETHYL-",162.2773,218,
877-48-5,"(2,5-Dimethylphenyl)acetate",164.2059,237,
877-53-2,"2,4-DIMETHYLPHENYL ACETATE",164.2059,226,
879-97-0,"Phenol, 4-(1,1-dimethylethyl)-2,6-dimethyl-",178.2767,248,
880-78-4,Pentafluoronitrobenzene,213.0644,159.5,
882-33-7,DIPHENYL DISULFIDE,218.3415,310,
883-93-2,2-PHENYLBENZTHIAZOLE,211.2874,371,
883-99-8,"2-Naphthalenecarboxylic acid, 3-hydroxy-, methyl",202.2117,206,
886-65-7,"(1,4-DIPHENYL)-1,3-BUTADIENE",206.29,350,
888-71-1,"1,2,4-OXADIAZOLE, 3,5-DIPHENYL-",222.2486,290,
917-92-0,"1-BUTYNE, 3,3-DIMETHYL-",82.1466,37.7,
917-93-1,"Propanal, 2-chloro-2-methyl-",106.5528,90,
918-00-3,"1,1,1-TRICHLOROACETONE",161.4158,149,
918-20-7,2-CHLORO-2-METHYLPROPANE,92.5693,50,
918-22-9,"1,6-Dibromododecafluorohexane",459.8557,142,
918-84-3,"PENTANE, 3-CHLORO-3-METHYL-",120.6235,116,
918-85-4,"1-Penten-3-ol, 3-methyl-",100.1619,117-118,ALDRICH (2000)
919-30-2,gamma-Aminopropyltriethoxysilane,221.3746,217,ALDRICH (2000)
919-31-3,3-(Triethoxysilyl)propionitrile,217.3427,224,ALDRICH (2000)
919-94-8,ETHYL(TERT-AMYL) ETHER,116.205,102,
920-37-6,"2-Propenenitrile, 2-chloro-",87.5091,88.5,
920-46-7,METHACRYLOYL CHLORIDE,104.5369,96,
920-66-1,"1,1,1,3,3,3-HEXAFLUOROPROPAN-2-OL",168.0392,59,
921-03-9,"1,1,3-Trichloroacetone",161.4158,172,"Lide, DR ET AL.  (1994)"
921-47-1,"2,3,4-TRIMETHYLHEXANE",128.2598,139.1,
922-28-1,"HEPTANE, 3,4-DIMETHYL-",128.2598,140.6,
922-61-2,3-METHYL-2-PENTENE,84.1625,69,
922-62-3,"2-Pentene, 3-methyl-, (Z)-",84.1625,67.7,
922-63-4,2-ETHYLPROPENAL,86.1349,92.5,
922-65-6,"1,4-PENTADIEN-3-OL",84.1189,115.5,
922-67-8,"Propiolic acid, methyl ester",84.0753,103-105,ALDRICH (2000)
923-02-4,N-methylolmethacrylamide,115.133,100,ALDRICH (2000)
923-99-9,Tripropyl phosphite,208.2397,206.5,
924-41-4,"1,5-HEXADIEN-3-OL",98.146,133.5,
924-43-6,"Nitrous acid, 1-methylpropyl ester",103.1218,68.5,
924-50-5,"2-Butenoic acid, 3-methyl-, methyl ester",114.1454,136.5,
924-52-7,"NITRIC ACID, 1-METHYLPROPYL ESTER",119.1212,124,
925-15-5,"BUTANEDIOIC ACID, DIPROPYL ESTER",202.2526,250.8,
925-78-0,3-Nonanone,142.2432,190,
926-02-3,"Propane, 2-(ethenyloxy)-2-methyl-",100.1619,75,
926-56-7,"4-METHYL-1,3-PENTADIENE",82.1466,76.5,
926-57-8,"1,3-DICHLORO-2-BUTENE",124.9984,131,
926-63-6,Dimethyl propylamine,87.1661,66,
926-64-7,"Acetonitrile, (dimethylamino)",84.1218,137.5,
926-65-8,"Propane, 2-(ethenyloxy)-",86.1349,55.5,
926-82-9,"Heptane, 3,5-dimethyl-",128.2598,136,
927-49-1,6-UNDECANONE,170.2974,228,
927-62-8,DIMETHYLBUTYLAMINE,101.1932,95,
927-68-4,"ETHANOL, 2-BROMO-, ACETATE",167.0032,162.5,
927-73-1,4-CHLORO-1-BUTENE,90.5534,75,
927-74-2,3-Butyn-1-ol,70.0918,129,
927-80-0,Ethoxy-ethyne,70.0918,50,
928-40-5,"2,6-Dihydroxyhexane",118.1773,237,
928-45-0,BUTYL NITRATE,119.1212,133,
928-49-4,3-Hexyne,82.1466,81,
928-50-7,"1-PENTENE, 5-CHLORO-",104.5805,105,
928-55-2,"Ether, ethyl propenyl",86.1349,67-76,ALDRICH (2000)
928-65-4,HEXYLTRICHLOROSILANE,219.6155,190,
928-68-7,"2-Heptanone, 6-methyl-",128.2161,167,
928-80-3,3-DECANONE,156.2703,203,
928-92-7,"4-Hexen-1-ol, (E)-",100.1619,159,
928-94-9,"2-HEXEN-1-OL, (Z)-",100.1619,157,
928-95-0,"2-Hexen-1-ol, (E)-",100.1619,157,
928-96-1,"3-Hexen-1-ol, (Z)-",100.1619,156.5,
929-06-6,2-(2-Aminoethoxy)ethanol,105.1378,218-224,Aldrich (1998)
929-37-3,"Ethanol, 2-(2-(ethenyloxy)ethoxy)- (9CI)",132.1607,196,ALDRICH (2000)
930-18-7,"CYCLOPROPANE, 1,2-DIMETHYL-, CIS-",70.1355,37.0,
930-22-3,"Oxirane, ethenyl-",70.0918,68,
930-27-8,3-METHYLFURAN,82.103,66,
930-28-9,"CYCLOPENTANE, CHLORO-",104.5805,114,
930-30-3,2-CYCLOPENTEN-1-ONE,82.103,136,
930-36-9,1-METHYLPYRAZOLE,82.1058,127,
930-37-0,"Oxirane, (methoxymethyl)-",88.1072,113,
930-55-2,N-NITROSOPYRROLIDINE,100.1212,214,
930-62-1,"2,4-Dimethyl-1H-imidazole",96.1329,267,"LIDE,DR ET AL. (1994)"
930-66-5,"CYCLOHEXENE, 1-CHLORO-",116.5916,142.5,
930-68-7,2-CYCLOHEXENE-1-ONE,96.1301,170,
930-87-0,"1,2,5-Trimethylpyrrole",109.1724,171,
930-89-2,"CYCLOPENTANE, 1-ETHYL-2-METHYL-, CIS-",112.2167,128,
930-90-5,1-METHYL-2-ETHYLCYCLOPENTANE (TRANS),112.2167,121.2,
931-36-2,"1H-Imidazole, 2-ethyl-4-methyl-",110.16,292-295,ALDRICH (2000)
931-56-6,"CYCLOHEXANE, METHOXY-",114.189,133,
931-87-3,Cyclooctene,110.2008,138,
932-56-9,"CYCLOHEPTANONE, 2-METHYL-",126.2002,185,
932-66-1,"ETHANONE, 1-(1-CYCLOHEXEN-1-YL)-",124.1842,201.5,
932-96-7,4-CHLOR-N-METHYLANILIN,141.6015,240,
933-48-2,"Cyclohexanol, 3,3,5-trimethyl-, cis-",142.2432,202,
933-67-5,7-METHYLINDOLE,131.1788,266,
933-88-0,"Benzoyl chloride, 2-methyl-",154.5974,213.5,
933-98-2,"1,2-DIMETHYL-3-ETHYLBENZENE",134.2231,194,
934-34-9,S-ORTHOPHENYLENETHIOCARBAMATE,151.188,360,
934-74-7,"1,3-DIMETHYL-5-ETHYLBENZENE",134.2231,183.6,
934-80-5,"4-ETHYL-1,2-DIMETHYLBENZENE",134.2231,189.5,
935-13-7,3-Furan-2-yl-propionic acid,140.14,229,
935-31-9,"CYCLODECENE, (Z)-",138.255,195,
936-53-8,"1H-PYRAZOLE, 4,5-DIHYDRO-1-PHENYL-",146.1935,273,
937-20-2,"2,4'-Dichloroacetophenone",189.0424,270,
938-16-9,"2,2-DIMETHYLPROPIOPHENONE",162.2336,220,
938-33-0,8-METHOXYQUINOLINE,159.1893,283,
939-23-1,4-PHENYLPYRIDINE,155.2011,281,
939-27-5,2-ETHYLNAPHTHALENE,156.2294,258,
939-48-0,"BENZOIC ACID, 1-METHYLETHYL ESTER",164.2059,216,
940-31-8,2-Phenoxypropionic acid,166.1782,266,"LIDE,DR ET AL. (1994)"
940-41-0,"Silane, trichloro(2-phenylethyl)-",239.6059,242,
940-49-8,Isobutyl benzyl ether,164.2496,212,
941-98-0,ALPHA-NAPHTHYL METHYL KETONE,170.2129,297,
942-01-8,"1H-CARBAZOLE, 2,3,4,9-TETRAHYDRO-",171.2441,327.5,
942-06-3,"5,6-Dichloro-isobenzofuran-1,3-dione",217.0093,313,
942-92-7,"1-Hexanone, 1-phenyl-",176.2607,265,
946-80-5,BENZYL PHENYL ETHER,184.24,286.5,
947-84-2,"[1,1'-BIPHENYL]-2-CARBOXYLIC ACID",198.2234,343.5,
948-32-3,"Benzene, 1,2,4-tris(1-methylethyl)-",204.3585,244,
948-98-1,"BENZENE, 1,1'-(1-CHLORO-1,2-ETHENEDIYL)BIS-, (E)",214.6968,322,
949-87-1,(4-METHYLPHENYL)PHENYLDIAZENE,196.254,312,
955-83-9,"Furan, 2,5-diphenyl-",220.2734,344,
992-94-9,"SILANE, METHYL-",43.1211,-57.5,
993-00-0,METHYLCHLOROSILANE,77.5661,7,
993-07-7,"SILANE, TRIMETHYL-",73.1912,6.7,
993-15-7,"Stannane, methyl tribromo",373.4371,211,
993-16-8,"Stannane, trichloromethyl-",240.0841,171,ALDRICH (2000)
994-05-8,METHYL-T-AMYL ETHER,102.1779,86.3,
994-30-9,CHLOROTRIETHYLSILANE,150.7255,144.5,
994-49-0,"DISILOXANE, HEXAETHYL-",246.5443,233,
996-35-0,"N,N-Dimethylisopropylamine",87.1661,66,
998-29-8,Tripropyl silane,157.3537,172,
998-30-1,Triethoxysilane,163.2706,133.5,
999-52-0,3-Chloroheptane,134.6506,144,
999-97-3,HEXAMETHYLDISILIZANE,161.397,125,
1000-49-3,"SILANE, BUTYL TRIMETHYL",130.3075,115,
1000-50-6,"Silane, butylchlorodimethyl-",150.7255,139,
1000-70-0,"Silanamine, N,N'-methanetetraylbis(1,1,1-trimeth",186.4069,164,ALDRICH (2000)
1000-86-8,"1,3-PENTADIENE, 2,4-DIMETHYL-",96.1737,93.2,
1001-55-4,(ACETYLOXY)ACETONITRILE,99.09,200,
1002-16-0,1-PENTYL NITRATE,133.1483,157,
1002-28-4,3-Hexyn-1-ol,98.146,163,
1002-69-3,1-CHLORODECANE,176.7319,223.4,
1002-84-2,PENTADECANOIC ACID,242.4051,339.1,
1003-03-8,Cyclopentanamine,85.1501,108,
1003-09-4,2-BROMOTHIOPHENE,163.0365,150,
1003-29-8,PYRROLE-2-CARBOXALDEHYDE,95.1017,218,
1003-30-1,"Furan, 2-ethyltetrahydro-",100.1619,109,
1003-31-2,2-CYANOTHIOPHENE,109.1504,192,
1003-56-1,"2(1H)-PYRIDINONE, 3-METHYL-",109.1288,289,
1003-64-1,"CYCLOHEXANE, ETHYLIDENE-",110.2008,136,
1003-78-7,"2,4-Dimethylsulfolane",148.2253,281,
1004-36-0,"GAMMA-2,6-DIMETHYLPYRONE",124.1406,251,
1004-66-6,"2,6-DIMETHYLANISOLE",136.1954,182.5,
1005-64-7,1-BUTENYLBENZENE,132.2071,198.7,
1005-67-0,"Morpholine, 4-butyl-",143.2308,213.5,
1007-26-7,Neopentyl benzene,148.2502,186,
1007-32-5,1-PHENYL-2-BUTANONE,148.2065,230,
1008-76-0,"2(3H)-Furanone, 4,5-dihydro-5-phenyl-",162.19,306,ALDRICH (2000)
1008-88-4,3-PHENYLPYRIDINE,155.2011,272,
1008-89-5,2-PHENYLPYRIDINE,155.2011,271,
1009-14-9,"1-Pentanone, 1-phenyl-",162.2336,245,
1009-93-4,"CYCLOTRISILAZANE, 2,2,4,4,6,6-HEXAMETHYL-",219.5124,188,
1012-72-2,"Benzene, 1,4-bis(1,1-dimethylethyl)-",190.3314,238,
1013-88-3,"BENZENEMETHANIMINE, .ALPHA.-PHENYL-",181.2393,282,
1014-69-3,DESMETRYNE,213.3063,345,
1020-84-4,"Cyclotetrasilazane, 2,2,4,4,6,6,8,8-octamethyl-",292.6832,225,ALDRICH (2000)
1056-77-5,"FURAN, TETRAPHENYL-",372.471,220,
1066-44-0,Trimethyltin bromide,243.6992,164,
1066-45-1,Trimethyltin chloride,199.2482,148,
1067-08-9,3-METHYL-3-ETHYLPENTANE,114.2327,118.2,
1067-20-5,"3,3-DIETHYLPENTANE",128.2598,146.3,
1068-19-5,"HEPTANE, 4,4-DIMETHYL-",128.2598,135.2,
1068-87-7,"2,4-DIMETHYL-3-ETHYLPENTANE",128.2598,136.7,
1069-53-0,"2,3,5-TRIMETHYLHEXANE",128.2598,131.4,
1070-78-6,"Propane, 1,1,1,3-tetrachloro-",181.8773,157,
1070-83-3,"Butanoic acid, 3,3-dimethyl-",116.1613,190,
1070-87-7,"2,2,4,4-TETRAMETHYLPENTANE",128.2598,122.2,
1071-26-7,"2,2-DIMETHYLHEPTANE",128.2598,132.7,
1071-27-8,gamma-Cyanopropyltrichlorosilane,202.5441,237-238,ALDRICH (2000)
1071-73-4,5-Hydroxy-2-pentanone,102.1343,209,"Lide, DR (1994)"
1071-81-4,"2,2,5,5-TETRAMETHYLHEXANE",142.2868,137.4,
1071-98-3,2-BUTYNEDINITRILE,76.058,76.5,
1072-05-5,"HEPTANE, 2,6-DIMETHYL-",128.2598,135.2,
1072-16-8,"OCTANE, 2,7-DIMETHYL-",142.2868,159.9,
1072-43-1,"Thiirane, methyl-",74.1453,72.5,
1072-44-2,1-Methylaziridine,57.0959,27.5,
1072-52-2,1-Aziridineethanol,87.1224,168,Lide (2005)
1072-83-9,2-ACETYLPYRROLE,109.1288,220,
1072-84-0,1H-Imidazole-4-carboxylic acid,112.0887,294-295,ALDRICH (2000)
1072-91-9,"1H-PYRAZOLE, 1,3,5-TRIMETHYL-",110.16,170,
1073-06-9,M-BROMOFLUOROBENZENE,175.0012,150,
1073-07-0,"1,4-CYCLOOCTADIENE",108.1848,145,
1073-67-2,P-CHLOROSTYRENE,138.598,192,
1074-11-9,Phenyldichloroethane,175.059,233.5,
1074-17-5,1-METHYL-2-PROPYLBENZENE,134.2231,185,
1074-43-7,1-METHYL-3-PROPYLBENZENE,134.2231,182,
1074-55-1,1-METHYL-4-PROPYLBENZENE,134.2231,183.4,
1075-38-3,"BENZENE, 1-(1,1-DIMETHYLETHYL)-3-METHYL-",148.2502,189.3,
1075-74-7,"BENZENE, 4-PENTENYL-",146.2342,201,
1076-55-7,"PHENOL, 2-METHOXY-6-(1-PROPENYL)-",164.2059,267.5,
1076-61-5,"NAPHTHALENE, 1,2,3,4-TETRAHYDRO-6,7-DIMETHYL-",160.2613,252,
1077-16-3,N-HEXYLBENZENE,162.2773,226.1,
1078-71-3,1-PHENYLHEPTANE,176.3044,240,
1079-71-6,"1,2,3,4,5,6,7,8-Octahydro-anthracene",186.2996,294,
1081-75-0,"BENZENE, 1,1'-(1,3-PROPANEDIYL)BIS-",196.2948,300.3,
1081-77-2,N-NONYLBENZENE,204.3585,280.5,
1083-56-3,"BENZENE, 1,1'-(1,4-BUTANEDIYL)BIS-",210.3219,317,
1111-74-6,"SILANE, DIMETHYL-",58.1561,-20,
1111-97-3,"1-Butyne, 3-chloro-3-methyl-",102.5645,76,
1112-39-6,"SILANE, DIMETHOXYDIMETHYL-",120.225,82,
1112-55-6,Tetra(ethene)silane,136.2708,130.2,
1113-30-0,"N,N,1,1-Tetramethyl boranamine",84.9579,65,
1113-68-4,"Acetamide, N-acetyl-N-methyl-",115.133,195,
1113-74-2,"2,4-Dimethyl-pentan-3-one oxime",129.2037,181,
1114-51-8,"Propanamide, N,N-diethyl-",129.2037,191,
1114-76-7,"Butanamide, N,N-diethyl-",143.2308,206,
1115-11-3,"2-BUTENAL, 2-METHYL-",84.1189,117,
1115-30-6,"Butanedioic acid, acetyl-, diethyl ester",216.236,255,
1116-24-1,"Acetamide, N,N-dipropyl-",143.2308,209.5,
1116-39-8,Triisobutyl boron,182.16,188,
1116-40-1,"1-Propanamine, 2-methyl-N,N-bis(2-methylpropyl)-",185.3557,191.5,
1116-61-6,Tripropyl-borane,140.0787,159,
1116-76-3,TRI(N-OCTYL)AMINE,353.6808,366,
1117-55-1,"Octanoic acid, hexyl ester",228.3781,277.4,
1117-59-5,"Pentanoic acid, hexyl ester",186.2968,226.3,
1118-68-9,"N,N-DIMETHYLGLYCINE",103.1218,63.9     ,
1118-84-9,"BUTANOIC ACID, 3-OXO-, 2-PROPENYL ESTER",142.156,196,
1119-40-0,"PENTANEDIOIC ACID, DIMETHYL ESTER",160.1713,214,
1119-46-6,5-CHLOROPENTANOIC ACID,136.5793,230,
1119-49-9,"Acetamide, N-butyl-",115.1766,229,
1119-51-3,"1-Pentene, 5-bromo-",149.0315,125.5,
1119-60-4,Hept-6-enoic acid,128.1725,226,
1119-65-9,2-Heptyne,96.1737,112,
1120-21-4,N-UNDECANE,156.3139,195.9,
1120-36-1,1-TETRADECENE,196.3793,233,
1120-48-5,"1-Octanamine, N-octyl-",241.4641,297.5,
1120-56-5,"Cyclobutane, methylene-",68.1195,42.2,
1120-59-8,"THIOPHENE, 2,3-DIHYDRO-",86.1564,112.1,
1120-62-3,"CYCLOPENTENE, 3-METHYL-",82.1466,64.9,
1120-64-5,"2-Methyl-4,5-dihydro-oxazole",85.1065,111,
1120-72-5,"Cyclopentanone, 2-methyl-",98.146,139.5,
1120-73-6,"2-CYCLOPENTEN-1-ONE, 2-METHYL-",96.1301,157,
1120-97-4,4-METHYLDIOXANE,102.1343,114,
1121-07-9,N-METHYLSUCCINIMIDE,113.117,234,
1121-24-0,O-MERCAPTOPHENOL,126.1781,217,
1121-37-5,"METHANONE, DICYCLOPROPYL-",110.1572,161,
1121-55-7,"PYRIDINE, 3-ETHENYL-",105.1405,162,
1121-60-4,2-PYRIDINECARBOXYALDEHYDE,107.1128,180,
1122-39-0,"2,4,5-TRIMETHYLPYRIDINE",121.1836,188,
1122-54-9,4-ACETYLPYRIDINE,121.1399,212,
1122-60-7,"Cyclohexane, nitro-",129.1601,205,
1122-62-9,2-ACETYLPYRIDINE,121.1399,192,
1122-69-6,"PYRIDINE, 2-ETHYL-6-METHYL-",121.1836,160.5,
1122-81-2,4-PROPYLPYRIDINE,121.1836,185,
1122-82-3,"Cyclohexane, isothiocyanato-",141.2364,220,
1122-83-4,"Benzenamine, N-sulfinyl-",139.1769,200,
1123-00-8,CYCLOPENTANEACETIC ACID,128.1725,228,
1123-09-7,"2-CYCLOHEXEN-1-ONE, 3,5-DIMETHYL-",124.1842,208.5,
1123-25-7,1-Methylcyclohexanecarboxylic acid,142.1996,234,ALDRICH (2000)
1123-27-9,"Ethanone, 1-(1-hydroxycyclohexyl)-",142.1996,125.5,
1123-86-0,1-Cyclohexyl-propan-1-one,140.2273,196,
1123-96-2,"3,5-Dimethyl-2-ethylpyridine",135.2107,198,
1124-05-6,"Benzene, 1,4-dichloro-2,5-dimethyl-",175.059,222,
1124-07-8,"2,4-Dichloro-5-methylphenol",177.0313,234,
1124-11-4,"PYRAZINE, TETRAMETHYL-",136.1982,190,
1124-20-5,1-METHYL-3-ETHENYL BENZENE,132.2071,185,
1124-27-2,p-Menth-4(8)-ene,138.255,173,
1125-78-6,"2-NAPHTHALENOL, 5,6,7,8-TETRAHYDRO-",148.2065,275.5,
1125-80-0,ISOQUINOLONE-3-METHYL,143.1899,249,
1126-75-6,"BENZENE, (2-METHYLPROPOXY)-",150.2225,197.5,
1126-78-9,N-BUTYLANILINE,149.2378,243.5,
1126-79-0,BUTYL PHENYL ETHER,150.2225,210,
1127-76-0,1-ETHYLNAPHTHALENE,156.2294,258.6,
1128-54-7,3-Methyl-1-phenylpyrazole,158.2046,255,
1128-76-3,"BENZOIC ACID, 3-CHLORO-, ETHYL ESTER",184.6239,243,
1129-47-1,"Propanoic acid, 2-methyl-, cyclohexyl ester",170.2538,204,
1131-16-4,"1H-Pyrazole, 3,5-dimethyl-1-phenyl-",172.2317,273,
1131-18-6,"1H-Pyrazol-5-amine, 3-methyl-1-phenyl-",173.2193,333,
1131-60-8,P-CYCLOHEXYLPHENOL,176.2607,294,
1131-62-0,"Ethanone, 1-(3,4-dimethoxyphenyl)-",180.2053,287,
1132-39-4,Diphenyl selenide,233.1735,301.5,
1132-66-7,"BENZENE, (HEXYLOXY)-",178.2767,240,
1134-62-9,"NAPHTHALENE, 2-BUTYL-",184.2836,292,
1135-99-5,DIPHENYLTIN DICHLORIDE,343.8095,335,
1140-14-3,"2,4-Dimethylphenyl phenyl ketone",210.2782,321.5,
1142-97-8,"BENZENESULFONOTHIOIC ACID, 4-CHLORO-, S-PHENYL E",284.7853,118.5,
1163-19-5,DECABROMODIPHENYL ETHER,959.1732,530,
1174-72-7,"SILICIC ACID (H4SIO4), TETRAPHENYL ESTER",400.5106,417,
1184-60-7,"1-PROPENE, 2-FLUORO-",60.0717,-24,
1185-33-7,"2,2-DIMETHYL-1-BUTANOL",102.1779,136.5,
1185-55-3,Methyltrimethoxysilane,136.2244,102.5,
1186-53-4,"2,2,3,4-TETRAMETHYLPENTANE",128.2598,133.0,
1187-03-7,"UREA, TETRAETHYL-",172.2726,209,
1187-58-2,N-METHYL PROPIONAMIDE,87.1224,148,
1188-33-6,"Methanamine, 1,1-diethoxy-N,N-dimethyl-",147.219,129,
1189-71-5,Sulfuryl chloride isocyanate,141.5331,107,
1189-99-7,"HEPTANE, 2,5,5-TRIMETHYL-",142.2868,152.8,
1190-22-3,"Butane, 1,3-dichloro-",127.0144,134,
1190-39-2,"PROPANEDIOIC ACID, DIBUTYL ESTER",216.2797,251.5,
1190-83-6,"2,2,6-TRIMETHYLHEPTANE",142.2868,148.9,
1191-04-4,2-Hexenoic acid,114.1454,216.5,
1191-08-8,"1,4-Butanedithiol",122.2523,195.5,
1191-62-4,"Octane-1,8-dithiol",178.3607,269-270,ALDRICH (2000)
1191-95-3,CYCLOBUTANONE,70.0918,99,
1191-96-4,"Cyclopropane, ethyl-",70.1355,35.9,
1191-99-7,"Furan, 2,3-dihydro-",70.0918,54.5,
1192-18-3,"1,2-DIMETHYLCYCLOPENTANE (CIS)",98.1896,99.5,
1192-28-5,"Cyclopentanone, oxime",99.1336,196,
1192-30-9,"Furan, 2-(bromomethyl)tetrahydro-",165.0309,170,
1192-37-6,METHYLENE CYCLOHEXANE,96.1737,102.5,
1192-62-7,2-ACETYLFURAN,110.1135,175,
1193-12-0,"3,3-Dimethylpiperidine",113.2043,137,
1193-18-6,"2-Cyclohexen-1-one, 3-methyl-",110.1572,201,
1193-46-0,"CYCLOHEXANOL, 2,2-DIMETHYL-",128.2161,177,
1193-47-1,"CYCLOHEXANONE, 2,2-DIMETHYL-",126.2002,172,
1193-72-2,"1-Bromo-2,4-dichlorobenzene",225.9008,235,
1193-81-3,"Cyclohexanemethanol, .alpha.-methyl-",128.2161,189,
1193-82-4,METHYL PHENYL SULFOXIDE,140.2052,263.5,
1194-02-1,"Benzonitrile, 4-fluoro-",121.115,188.8,
1194-65-6,"2,6-DICHLOROBENZONITRILE",172.0147,270,
1195-31-9,"CYCLOHEXENE, 1-METHYL-4-(1-METHYLETHYL)-, (R)-",138.255,173,
1195-32-0,"Benzene, 1-methyl-4-(1-methylethenyl)-",132.2071,185.3,
1196-01-6,(-)Verbenone,150.2225,227.5,
1196-31-2,"CYCLOHEXANONE, 5-METHYL-2-(1-METHYLETHYL)-, (2R-",154.2544,204,
1196-58-3,"BENZENE, (1-ETHYLPROPYL)-",148.2502,187.5,
1197-19-9,"P-CYANO-N,N-DIMETHYLANILINE",146.1935,318,
1197-37-1,"1,2-Benzenediamine, 4-ethoxy-",152.1976,295,
1198-37-4,"2,4-DIMETHYLQUINOLINE",157.217,265,
1200-73-3,"4-Methyl-4-phenyl-[1,3]dioxane",178.233,256,
1202-08-0,2-Acetyl-4-isopropyltoluene,176.2607,249.5,
1202-32-0,B-ETHYL-B-NITROSTYRENE,177.2047,307.5,
1202-34-2,N-2-PYRIDINYL-2-PYRIDINAMINE,171.2033,307.5,
1205-64-7,3-METHYL DIPHENYL AMINE,183.2553,316,
1205-71-6,4-CHLORO-N-PHENYLBENZENAMINE,203.6732,335,
1222-05-5,Galaxolide,258.4073,325,US EPA (2004)
1241-94-7,2-ETHYLHEXYL DIPHENYL PHOSPHATE,362.4096,375,Chem. Inspect. Test Inst (1992)
1300-32-9,Furoyl Chloride,130.5315,170,
1300-73-8,XYLIDINE,605.9179,219.5  ,
1312-73-8,POTASSIUM SULFIDE,110.268,912,
1314-80-3,PHOSPHORUS SULFIDE,222.2676,514,
1321-16-0,TETRAHYDROBENZALDEHYDE,330.4715,165,
1321-38-6,TOLUENE DIISOCYANATE (Mixture of isomers),174.1604,251,
1321-89-7,ISODECYLADEHYDE,156.2703,197,
1321-94-4,METHYL NAPHTHALENES (mixture of isomers),142.2024,240,
1323-65-5,Dinonyl phenol,346.6017,461.85,DAUBERT AND DANNER (1989)
1327-53-3,ARSENIC TRIOXIDE,197.8414,465      ,
1330-20-7,XYLENES (Isomer Mixture),106.1689,138.5  ,
1330-78-5,TRICRESYL PHOSPHATE,368.3729,265,
1330-96-7,ISODECYLOCTYLPHTHALATE,418.6222,447,
1333-17-1,TETRAMETHYL DECYNEDIOL,226.3621,260,
1333-38-6,Angelica Lactone,98.1024,210,
1333-74-0,HYDROGEN,2.0159,-252.77  ,
1335-86-0,"Cyclohexene, methyl-",96.1737,101.667,"FLICK,EW (1991)"
1335-87-1,HEXACHLORONAPTHALENE,334.8454,370,
1421-89-2,"Acetic acid, 2-(dimethylamino)ethyl ester",131.176,152,"LIDE,DR ET AL. (1994)"
1423-60-5,3-BUTYN-2-ONE,68.0759,84,
1435-50-3,"BENZENE, 2-BROMO-1,4-DICHLORO-",225.9008,226,
1444-64-0,"Cyclohexanol, 2-phenyl-",176.2607,228,"DAUBERT,TE & DANNER,RP (1997)"
1445-23-4,"3,4-Dimethyl-6-tert-butylphenol",178.2767,258.5,
1445-45-0,"1,1,1-TRIMETHOXYETHANE",120.1496,108,
1447-26-3,"4-HEPTEN-3-ONE, 5-METHYL-",126.2002,166.5,
1450-14-2,"DISILANE, HEXAMETHYL-",146.3824,113.5,
1450-72-2,2-ACETYL-4-METHYLPHENOL,150.1789,210,
1453-24-3,"CYCLOHEXENE, 1-ETHYL-",110.2008,137,
1453-25-4,1-Methyl-cycloheptene,110.2008,136,
1453-58-3,3-Methyl-1H-pyrazole,82.1058,204,
1454-85-9,HEPTADECYL ALCOHOL,256.4759,333,
1455-20-5,"THIOPHENE, 2-BUTYL-",140.2488,181.5,
1455-21-6,1-NONANETHIOL,160.3237,220,
