CAS,Name,Mol Wt,Melt Pt (deg C),Reference
565-00-4,"Bicyclo 2.2.1 heptane, 2,2-dimethyl-3-methylene-",136.239,51.5,
565-50-4,trans-Terpin,172.2697,158.5,
565-63-9,2-METHYL-2-BUTENOIC ACID (Z),100.1183,45.5,
565-64-0,"2,3-DICHLOROPROPIONIC ACID",142.9701,50,
565-74-2,2-BROMO-3-METHYL-BUTANOIC ACID,181.0303,44        ,
565-75-3,"2,3,4-TRIMETHYLPENTANE",114.2327,-109.2,
565-77-5,"2,3,4-TRIMETHYL-2-PENTENE",112.2167,-113.4,
565-80-0,"2,4-DIMETHYL-3-PENTANONE",114.189,-69,
566-56-3,"Allopregnane-3b,20a-diol",320.5199,218.5,
566-65-4,"3,20-Allopregnanedione",316.488,200,
566-78-9,21-Acetoxypregnenolone,374.525,184.5,
567-18-0,"2-Naphthalenesulfonic acid, 1-hydroxy-",224.2369,>250,
567-61-3,6-Methylsalicylic acid,152.1512,173,"Lide, DR ET AL (1994)"
568-53-6,alpha-Peltatin,400.3888,236.0,
568-93-4,Alizarine orange,285.215,244 dec,
569-31-3,Meconin,194.1888,102.5,
569-34-6,"1H-Purine-2,6-dione, 3,7-dihydro-8-methoxy-1,3,7",224.221,176,
569-41-5,"1,8-DIMETHYLNAPHTHALENE",156.2294,65,
569-51-7,HEMIMELLITIC ACID,210.1446,200,
569-57-3,Chlorotrianisene,380.875,115,
569-77-7,Purpurogallin,220.1834,274.5 dec,
570-22-9,"1H-IMIDAZOLE-4,5-DICARBOXYLIC ACID",156.0986,288.0,
570-24-1,2-Methyl-6-nitrobenzeneamine,152.154,96,
570-54-7,"Allopregnane-3b,17a-diol-20-one",334.5033,265,
571-58-4,"1,4-DIMETHYLNAPHTHALENE",156.2294,7.6,
571-61-9,"1,5-DIMETHYLNAPHTHALENE",156.2294,82,
572-09-8,Acetobromglucose,411.2061,88.5,
572-48-5,Coumithoate,368.3917,88.25,
572-59-8,Epiquinidine,324.4265,113,
572-60-1,Epiquinine,324.4265,< 25,
572-83-8,"2-Bromoanthracene-9,10-dione",287.1147,205.8,
572-93-0,"9,10-Anthracenedione, 2,7-dihydroxy-",240.2175,353.8,
573-11-5,"2,3,4-TRIMETHOXYBENZOIC ACID",212.2041,100.5,
573-17-1,9-Bromophenanthrene,257.1318,64.5,
573-20-6,Menadiol diacetate,258.2764,113,
573-26-2,"o-Acetotoluidide, N-methyl-",163.2212,55.5,
573-33-1,"2,4,5-Triphenyl-4,5-dihydro-1H-imidazole",298.391,134.5,
573-35-3,INOSITOL MONOPHOSPHATE,260.1389,195.0,
573-56-8,"2,6-DINITROPHENOL",184.1092,63.5,
573-58-0,CONGO RED,696.6763,>360,
573-97-7,1-Bromo-2-hydroxynaphthalene,223.0707,84,
573-98-8,"1,2-DIMETHYLNAPHTHALENE",156.2294,1.6,
574-09-4,"Ethanone, 2-ethoxy-1,2-diphenyl-",240.3047,62,
574-25-4,Thioinosine [JAN],284.2955,221-223 de,ALDRICH (2000)
574-84-5,Fraxetin,208.1723,231,
574-92-5,"3-Quinolinecarboxylic acid, 4-hydroxy-7-(trifluo",257.1706,259-60 dec,ALDRICH (2000)
574-98-1,N-(2-BROMOETHYL)PHTHALIMIDE,254.0848,82.5,
575-37-1,"1,7-DIMETHYLNAPHTHALENE",156.2294,-13.9,
575-38-2,"NAPTHALENE-1,7-DIOL",160.1741,180.5,
575-41-7,"1,3-DIMETHYLNAPTHALENE",156.2294,-6,
575-43-9,"1,6-DIMETHYLNAPHTHALENE",156.2294,-16.9,
575-44-0,"1,6-Naphthalenediol",160.1741,138,
575-47-3,Amylpenicillin Sodium,336.3883,188 dec,
575-61-1,Benzylidenephthalide,222.2458,99-102,ALDRICH (2000)
575-74-6,BUCLOSAMIDE,227.6927,91.5,
576-24-9,"2,3-DICHLOROPHENOL",163.0042,58,
576-26-1,"2,6-DIMETHYLPHENOL",122.1683,45.7,
576-42-1,Potassium hydrogen glucarate,210.1418,188 dec,ALDRICH (2000)
576-55-6,"Phenol, 2,3,4,5-tetrabromo-6-methyl-",423.7253,208,
576-83-0,"Benzene, 2-bromo-1,3,5-trimethyl-",199.092,-1,
577-11-7,BIS(2-ETHYLHEXYL) SODIUM SULFOSUCCINATE,444.5675,176,
577-19-5,O-BROMONITROBENZENE,202.0083,43,
577-27-5,LEDOL,222.3739,105,
577-33-3,Anthrarobin,226.234,208,
577-55-9,"1,2-DIISOPROPYLBENZENE",162.2773,-57,
577-56-0,O-ACETYLBENZOIC ACID,164.1623,114.5,
577-59-3,2-NITROACETOPHENONE,165.1499,28.5,
577-71-9,"3,4-DINITROPHENOL",184.1092,134,
577-85-5,3-Hydroxyflavone,238.2452,171.5,ALDRICH (2000)
577-91-3,Iodoalphionic acid,494.0699,164,
578-07-4,4-AMINOACRIDINE,194.238,108,
578-20-1,Thymyl N-Isoamylcarbamate,263.3832,57,
578-54-1,O-ETHYLANILINE,121.1836,-46.5,
578-57-4,1-BROMO-2-METHOXYBENZENE,187.0372,2.5,
578-58-5,2-METHYLANISOLE,122.1683,-34.1,
578-66-5,8-AMINOQUINOLINE,144.1775,70,
578-67-6,5-QUINOLINOL,145.1622,226 dec,
578-68-7,4-AMINOQUINOLINE,144.1775,154.8,
578-76-7,"6H-Purin-6-one, 2-amino-1,7-dihydro-7-methyl-",165.1556,370,
578-94-9,Phenarsazine Chloride,277.5868,195,Merck Index
579-04-4,"2,6-DIDEOXY-3-O-METHYL-RIBO-HEXOSE",162.1872,101,
579-07-7,"1,2-Propanedione, 1-phenyl-",148.1629,<20,
579-10-2,N-METHYLACETANILIDE,149.1941,103,
579-23-7,Cyclovalone,366.4176,178.5,
579-38-4,DILOXANIDE,234.0836,175       ,
579-43-1,MESO-HYDROBENZOIN,214.2665,138,
579-44-2,DL-BENZOIN,212.2505,137,
579-66-8,"2,6-DIETHYLANILINE",149.2378,3.5,
579-75-9,O-METHOXYBENZOIC ACID,152.1512,101,
580-02-9,"ACETYLSALICYLIC ACID, METHYL ESTER",194.1888,51.5,
580-13-2,2-BROMONAPHTHALENE,207.0713,59,
580-15-4,6-AMINOQUINOLINE,144.1775,114,
580-16-5,6-HDROXYQUINOLINE,145.1622,195,
580-17-6,3-AMINOQUINOLINE,144.1775,91.5,
580-20-1,7-QUINOLINOL,145.1622,239,
580-22-3,2-AMINOQUINOLINE,144.1775,131.5,
580-48-3,CHLORAZINE,257.7686,27,
580-51-8,3-PHENYLPHENOL,170.2129,78,
581-08-8,"ACETAMIDE, N-(2-ETHOXYPHENYL)-",179.2206,79,
581-40-8,"2,3-DIMETHYLNAPHTHALENE",156.2294,105,
581-42-0,"2,6-DIMETHYLNAPHTHALENE",156.2294,112,
581-43-1,"2,6-NAPHTHALENEDIOL",160.1741,220,
581-46-4,"3,3'-BIPYRIDINE",156.1887,68,
581-47-5,(4-PYRIDYL)-2-PYRIDINE,156.1887,61.5,
581-55-5,BENZAL DIACETATE,208.2159,46,
581-89-5,2-NITRONAPHTHALENE,173.1728,79,
581-96-4,2-NAPHTHALENEACETIC ACID,186.2123,142,
582-08-1,"2,2'-Bis(azonaphthalene)",282.348,208,
582-16-1,"2,7-DIMETHYLNAPHTHALENE",156.2294,97,
582-17-2,"2,7-Naphthalenediol",160.1741,193,
582-24-1,"Ethanone, 2-hydroxy-1-phenyl-",136.1518,90,
582-60-5,"5,6-DIMETHYLBENZIMIDAZOLE",146.1935,205.5,
582-61-6,BENZOYL AZIDE,147.1374,32,
582-77-4,N-m-Tolyl-benzamide,211.2658,125,
582-78-5,N-p-Tolyl-benzamide,211.2658,158,
583-03-9,Fenipentol,164.2496,< 25,
583-39-1,O-PHENYLENETHIOUREA,150.2033,298,
583-50-6,D-Erythrose,120.106,< 25,
583-53-9,O-DIBROMOBENZENE,235.9068,7.1,
583-55-1,"Benzene, 1-bromo-2-iodo-",282.9072,9.5,
583-58-4,"3,4-DIMETHYLPYRIDINE",107.1565,-11,
583-59-5,2-METHYLCYCLOHEXANOL,114.189,< 25,
583-68-6,"Benzenamine, 2-bromo-4-methyl-",186.0525,26,
583-69-7,"1,4-Benzenediol, 2-bromo-",189.0095,111.5,
583-70-0,"Benzene, 1-bromo-2,4-dimethyl-",185.0649,-17,
583-71-1,"BENZENE, 4-BROMO-1,2-DIMETHYL-",185.0649,-0.2,
583-75-5,"Benzenamine, 4-bromo-2-methyl-",186.0525,59.5,
583-78-8,"2,5-DICHLOROPHENOL",163.0042,59,
584-02-1,3-PENTANOL,88.1508,-69,
584-08-7,Potassium Carbonate,138.2133,891,
584-13-4,"4H-1,2,4-Triazole, 4-amino-",84.081,82.5,"LIDE, DR ET AL. (1994)"
584-18-9,Acetomeroctol,464.9579,158,
584-70-3,N-o-Tolyl-benzamide,211.2658,145.5,
584-79-2,ALLETHRIN,302.4173,-40,
584-84-9,"2,4-TOLUENE DIISOCYANATE",174.1604,20.5,
584-90-7,BIS(2-METHYLPHENYL)DIAZENE,210.2811,55.5,
584-92-9,"Octane-2,3-dione 3-oxime",157.2142,59,
584-98-5,"Butanedioic acid, bromo-, (.+-.)-",196.9861,161,
584-99-6,BROMOMALEIC ACID,194.9701,141,
585-34-2,"PHENOL, 3-(1,1-DIMETHYLETHYL)-",150.2225,42.3,
585-48-8,"2,6-DI-T-BUTYLPYRIDINE",191.319,2.2       ,
585-68-2,"5-Oxo-4,5-dihydro-furan-3-carboxylic acid",128.0852,164,
585-76-2,M-BROMOBENZOIC ACID,201.0207,155,
585-79-5,3-BROMO-1-NITROBENZENE,202.0083,56,
585-86-4,Lactitol,344.3185,146,
585-99-9,MELIBIOSE,342.3025,84.0,
586-06-1,Metaproterenol,211.263,100,
586-11-8,"3,5-DINITROPHENOL",184.1092,125.1,
586-37-8,M-METHOXYACETOPHENONE,150.1789,95.5,
586-38-9,M-METHOXYBENZOIC ACID,152.1512,107,
586-39-0,(3-Nitrophenyl)ethene,149.1505,-10,
586-61-8,1-ISOPROPYL-4-BROMOBENZENE,199.092,-22.5,
586-62-9,TERPINOLENE,136.239,< 25,
586-75-4,"Benzoyl chloride, 4-bromo-",219.4663,42,
586-76-5,P-BROMOBENZOIC ACID,201.0207,254.5,
586-77-6,"Benzenamine, 4-bromo-N,N-dimethyl-",200.0796,55,
586-78-7,4-BROMO-1-NITROBENZENE,202.0083,127,
586-84-5,2-(METHOXYMETHYL)-5-NO2 FURAN,157.127,< 25,
586-89-0,P-ACETYLBENZOIC ACID,164.1623,208,
586-95-8,4-PYRIDINEMETHANOL,109.1288,53,
586-96-9,NITROSOBENZENE,107.1128,68.5,
587-02-0,m-Ethylaniline,121.1836,-64,
587-03-1,M-METHYLBENZYL ALCOHOL,122.1683,<-20,
587-04-2,M-CHLOROBENZALDEHYDE,140.5703,17.5,
587-33-7,m-Tyrosine,181.1929,268 dec,
587-61-1,Propyliodone,447.0129,186,
587-65-5,A-CHLOROACETANILIDE,169.6121,87,
587-90-6,"Urea, N,N'-bis(4-nitrophenyl)-",302.2484,312 dec,
588-07-8,3-CHLOROACETANILIDE,169.6121,80,
588-22-7,"3,4-DICHLOROPHENOXYACETIC ACID",221.0412,139,
588-42-1,Trolnitrate Phosphate,284.1839,108,
588-46-5,N-BENZYLACETAMIDE,149.1941,61,
588-52-3,"Diazene, bis(4-ethoxyphenyl)-",270.3341,162,
588-59-0,STILBENE,180.2517,124       ,
588-63-6,"Benzene, (3-bromopropoxy)-",215.0914,10.7,
588-96-5,"Benzene, 1-bromo-4-ethoxy-",201.0643,4,
589-10-6,"Benzene, (2-bromoethoxy)-",201.0643,39,
589-15-1,"Benzene, 1-bromo-4-(bromomethyl)-",249.9339,63,
589-16-2,P-ETHYLANILINE,121.1836,-4.8,
589-17-3,p-Bromobenzyl chloride,205.4829,50,
589-18-4,P-METHYL BENZYL ALCOHOL,122.1683,61.5,
589-21-9,"HYDRAZINE, (4-BROMOPHENYL)-",187.0401,108,
589-29-7,"1,4-Benzenedimethanol",138.1677,117.5,
589-34-4,3-METHYLHEXANE,100.2056,-119,
589-38-8,3-HEXANONE,100.1619,-55.5,
589-43-5,"2,4-DIMETHYLHEXANE",114.2327,< 25,
589-53-7,4-METHYLHEPTANE,114.2327,-121,
589-55-9,4-HEPTANOL,116.205,-41.2,
589-57-1,Ethyl Phosphorochloridite,156.5499,< 25,
589-75-3,BUTYL OCTANOATE,200.3239,-42.9,
589-81-1,3-METHYLHEPTANE,114.2327,-100,
589-87-7,4-BROMOIODOBENZENE,282.9072,92,
589-90-2,"1,4-DIMETHYLCYCLOHEXANE",112.2167,-87,
589-92-4,4-METHYLCYCLOHEXANONE,112.1731,-40.6,
589-93-5,"2,5-DIMETHYLPYRIDINE",107.1565,-16,
589-98-0,3-OCTANOL,130.2321,-45,
590-01-2,N-BUTYL PROPIONATE,130.1884,-89,
590-11-4,"ETHENE, 1,2-DIBROMO-, (Z)-",185.8462,-53,
590-12-5,"ETHENE, 1,2-DIBROMO-, (E)-",185.8462,-6.5,
590-16-9,1-bromo-2-iodoethane,234.8626,28,
590-18-1,CIS-2-BUTENE,56.1084,-138.9,
590-19-2,"1,2-BUTADIENE",54.0924,-136.2,
590-26-1,"1,2-DIIODOETHENE (CIS)",279.847,-14,
590-29-4,Potassium Formate,84.1199,167,
590-35-2,"2,2-DIMETHYLPENTANE",100.2056,-123.8,
590-36-3,2-METHYL-2-PENTANOL,102.1779,-103,
590-42-1,"Propane, 2-isothiocyanato-2-methyl-",115.1982,10.5,
590-46-5,ACIDINE,153.6099,241-242,
590-50-1,"2-PENTANONE, 4,4-DIMETHYL-",114.189,-64,
590-60-3,"2-Butanol, 2-methyl-, carbamate",131.176,86,
590-66-9,"1,1-DIMETHYL CYCLOHEXANE",112.2167,-33.3,
590-67-0,1-METHYLCYCLOHEXANOL,114.189,25,
590-73-8,"2,2-DIMETHYLHEXANE",114.2327,-121.1,
590-86-3,3-METHYL-1-BUTANAL,86.1349,-51,
590-92-1,"Propanoic acid, 3-bromo-",152.9761,62.5,
590-93-2,2-Butynoic acid,84.0753,78,
591-07-1,"Acetamide, N-(aminocarbonyl)-",102.0935,218,
591-08-2,1-ACETYL-2-THIOUREA,118.1581,165,
591-11-7,"2(5H)-FURANONE, 5-METHYL-",98.1024,<-17,
591-12-8,"2(3H)-Furanone, 5-methyl-",98.1024,18,
591-17-3,M-BROMOTOLUENE,171.0378,-39.8,
591-18-4,"Benzene, 1-bromo-3-iodo-",282.9072,-9.3,
591-19-5,M-BROMOANILINE,172.0254,18.5,
591-20-8,M-BROMOPHENOL,173.0102,33,
591-22-0,"3,5-DIMETHYLPYRIDINE",107.1565,-6.6,
591-27-5,"PHENOL, 3-AMINO-",109.1288,123,
591-35-5,"3,5-DICHLOROPHENOL",163.0042,68,
591-47-9,"Cyclohexene, 4-methyl-",96.1737,-115.5,
591-49-1,1-METHYLCYCLOHEXENE,96.1737,-120.4,
591-50-4,IODOBENZENE,204.0111,-31.3,
591-54-8,4-PYRIMIDINAMINE,95.1046,155,
591-60-6,"Butanoic acid, 3-oxo-, butyl ester",158.199,-35.6,
591-62-8,TILLAM,203.349,-22,
591-68-4,"Pentanoic acid, butyl ester",158.2426,-92.8,
591-76-4,2-METHYLHEXANE,100.2056,-118.2,
591-78-6,2-HEXANONE,100.1619,-55.5,
591-80-0,4-Pentenoic acid,100.1183,-22.5,
591-93-5,"1,4-PENTADIENE",68.1195,-148.8,
591-95-7,"1,2-PENTADIENE",68.1195,-137.3,
591-96-8,"2,3-PENTADIENE",68.1195,-125.6,
592-13-2,"2,5-DIMETHYLHEXANE",114.2327,-91,
592-27-8,2-METHYLHEPTANE,114.2327,-108.9,
592-31-4,BUTYLUREA,116.1642,97,
592-35-8,O-BUTYL CARBAMATE,117.1489,53,
592-41-6,1-HEXENE,84.1625,-139.7,
592-42-7,"1,5-HEXADIENE",82.1466,-140.7,
592-43-8,2-HEXENE,84.1625,-98,
592-45-0,"1,4-Hexadiene",82.1466,< 25,
592-46-1,"2,4-Hexadiene",82.1466,-79,
592-47-2,3-HEXENE,84.1625,-90,
592-50-7,1-FLUOROPENTANE,90.1418,-120,
592-57-4,"1,3-CYCLOHEXADIENE",80.1307,-89,
592-65-4,"Propane, 1,1'-thiobis 2-methyl-",146.2967,-105.5,
592-76-7,1-HEPTENE,98.1896,-119.7,
592-84-7,N-BUTYLFORMATE,102.1343,-91.5,
592-88-1,DIALLYL SULFIDE,114.2106,-85,CRC Handbook
592-99-4,4-OCTENE,112.2167,-90,
593-03-3,Hexadecan-3-ol,242.4488,50,
593-08-8,2-TRIDECANONE,198.3516,30.5,
593-26-0,Ammonium Palmitate,273.4629,22,
593-39-5,Petroselinic Acid,282.4705,29.8,
593-45-3,OCTADECANE,254.5036,28.2,
593-49-7,HEPTACOSANE,380.7474,59.5,
593-50-0,1-Triacontanol,438.828,88,
593-51-1,"METHANAMINE, HYDROCHLORIDE",67.5187,227.5,
593-52-2,Methylarsine,91.9726,-143,
593-53-3,FLUOROMETHANE,34.0335,-141.8,
593-57-7,Dimethyl arsine,104.9917,-136.1,
593-60-2,BROMOETHENE,106.9502,-137.8,
593-63-5,"ETHYNE, CHLORO-",60.4833,-126,
593-70-4,CHLOROFLUOROMETHANE,68.4785,-133,
593-74-8,DIMETHYL MERCURY,230.6601,< 25,
593-75-9,METHYL ISOCYANIDE,41.0529,-45,
593-77-1,N-METHYLHYDROXYLAMINE,47.0571,87.5,
593-81-7,"Trimethylamine, Hydrochloride",95.5729,277.5,
593-84-0,Guanidine thiocyanate,118.1609,120-22,ALDRICH (2000)
593-88-4,Trimethylarsine,120.0268,-87.3,
593-90-8,Trimethyl boron,55.9162,-161.5,
593-98-6,"METHANE, BROMOCHLOROFLUORO-",147.3745,-115,
594-08-1,Trithiocarbonic acid,110.2191,-30,
594-09-2,"PHOSPHINE, TRIMETHYL-",76.079,-85,
594-10-5,Trimethylstibine,166.8552,-62,
594-11-6,METHYLCYCLOPROPANE,56.1084,-177.3,
594-15-0,tribromochloromethane,287.1762,55,
594-18-3,"METHANE, DIBROMODICHLORO-",242.7251,38,
594-20-7,"Propane, 2,2-dichloro-",112.9873,-33.8,
594-22-9,trichloroiodomethane,245.2746,-7.8,
594-27-4,TETRAMETHYL STANNANE,178.8302,-54.8,
594-31-0,"Antimony, dichlorotriphenyl-",423.9763,143-145,ALDRICH (2000)
594-34-3,"1,2-DIBROMO-2-METHYLPROPANE",215.9164,10.5,
594-36-5,"BUTANE, 2-CHLORO-2-METHYL-",106.5964,-73.5,
594-39-8,"2-Butanamine, 2-methyl-",87.1661,-105,
594-45-6,Ethanesulfonic acid,110.1323,-17,
594-47-8,"Acetamide, 2,2,2-tribromo-",295.7563,121.5,
594-51-4,"2,3-Dibromo-2-methyl-butane",229.9434,7,
594-56-9,"2,3,3-TRIMETHYL-1-BUTENE",98.1896,-109.9,
594-58-1,Chlorodimethylacetic acid,122.5522,31,
594-60-5,"2,3-DIMETHYL-2-BUTANOL",102.1779,-14,
594-61-6,A-HYDROXY-I-BUTYRIC ACID,104.1066,82.5,
594-65-0,TRICHLOROACETAMIDE,162.4033,142,
594-68-3,Triiodoacetic Acid,437.7423,150 dec,
594-70-7,2-METHYL-2-NITROPROPANE,103.1218,26.23,
594-82-1,"2,2,3,3-TETRAMETHYLBUTANE",114.2327,100.7,
594-83-2,"2,3,3,-TRIMETHYL-2-BUTANOL",116.205,17,
594-89-8,"1,1,1,2,2,3,3-heptachloropropane",285.2124,29.4,
595-30-2,"1,8,8-TriMe-3-oxa-bicyclo[3.2.1]octane-2,4-dione",182.2213,221,
595-33-5,MEGESTROL ACETATE,384.5202,214.0,
595-37-9,"2,2-DIMETHYL BUTYRIC ACID",116.1613,-14,
595-39-1,DL-Isovaline,117.1489,316.5,
595-41-5,"2,3-DIMETHYL-3-PENTANOL",116.205,<-30,
595-46-0,DIMETHYLMALONIC ACID,132.1171,192 dec,
595-49-3,"2,2-Dinitropropane",134.0923,54,
595-77-7,Algestone,346.4708,225,
595-86-8,"1,1,1-Trinitroethane",165.0627,57,
595-89-1,Tetraphenyl lead,515.617,228.3,
595-90-4,Tetraphenyl tin,427.117,228,
596-01-0,a-Naphtholphthalein,418.4533,254,
596-03-2,"4',5'-Dibromofluorescein",490.1077,285,
596-27-0,"1(3H)-Isobenzofuranone, 3,3-bis(4-hydroxy-3-meth",346.3864,223,
596-29-2,"1(3H)-Isobenzofuranone, 3,3-diphenyl-",286.3334,120,
596-43-0,"Benzene, 1,1',1''-(bromomethylidyne)tris-",323.2354,153,
596-51-0,Glycopyrrolate,398.3439,192.5,
597-09-1,"2-ETHYL-2-NITRO-1,3-PROPANEDIOL",149.1477,57.5,
597-12-6,Melezitose,504.4461,153,
597-35-3,DIETHYL SULFONE,122.1871,73.5,
597-43-3,"Butanedioic acid, 2,2-dimethyl-",146.1442,140.5,
597-49-9,3-ETHYL-3-PENTANOL,116.205,-12.5,
597-64-8,Tetraethyl tin,234.9386,-112,Aldrich (1998)
597-71-7,"1,3-Propanediol, 2,2-bis (acetyloxy)methyl -, di",304.2996,83.5,
597-93-3,"5-NONANOL, 5-BUTYL-",200.3675,20,
598-01-6,"4-HEPTANOL, 4-METHYL-",130.2321,-82,
598-03-8,PROPYL SULFONE,150.2413,29.5,
598-04-9,"Butane, 1,1'-sulfonylbis-",178.2955,45,
598-14-1,DICHLOROETHYL ARSINE,174.8897,-65,
598-23-2,"1-BUTYNE, 3-METHYL-",68.1195,-89.7,
598-25-4,"3-METHYL-1,2-BUTADIENE",68.1195,-113.6,
598-31-2,1-BROMO-2-PROPANONE,136.9767,-36.5,
598-50-5,"UREA, METHYL-",74.0829,103,
598-52-7,N-METHYLTHIOUREA,90.1475,120,
598-55-0,O-METHYL CARBAMATE,75.0677,54,
598-56-1,ETHYL DIMETHYLAMINE,73.139,-140,CRC Handbook
598-57-2,METHYLNITROAMINE,76.0552,38,
598-58-3,METHYLNITRATE,77.04,-82.5,
598-61-8,METHYLCYCLOBUTANE,70.1355,-161.5,
598-74-3,3-Methyl-2-butanamine,87.1661,-50,
598-79-8,"2-Propenoic acid, 2-chloro-",106.5092,66,"LIDE, DR ET AL. (1994)"
598-82-3,A-HYDROXYPROPIONIC ACID,90.0795,18,
598-88-9,"1,2-DICHLORO-1,2-DIFLUOROETHYLENE",132.9251,-130.5,
598-89-0,Diiodoacetic Acid,311.8458,110,
598-94-7,"1,1-DIMETHYLUREA",88.11,183.5,
598-99-2,METHYL TRICHLOROACETATE,177.4152,-17.5,
599-01-9,"3,3,3-Trichloro-2-hydroxy-propionic acid",193.4146,125,
599-04-2,Pantolactone,130.1448,92,
599-33-7,Prednylidene,372.4655,234,
599-61-1,"Benzenamine, 3,3'-sulfonylbis-",248.3056,170-173,ALDRICH (2000)
599-64-4,"Phenol, 4-(1-methyl-1-phenylethyl)-",212.2942,74-76,Aldrich (1998)
599-66-6,"Benzene, 1,1'-sulfonylbis 4-methyl-",246.3305,159,
599-70-2,Ethyl phenyl sulfone,170.2317,42,
599-79-1,Sulfasalazine,398.4001,220 dec,
599-88-2,SULFAPERINE,264.3079,262.5,
599-91-7,"Benzenesulfonic acid, 4-methyl-, propyl ester",214.2853,<-20,
600-05-5,"Propanoic acid, 2,3-dibromo-",231.8721,66.5,
600-07-7,"Butanoic acid, 2-methyl-, (.+-.)-",102.1343,<-80,
600-11-3,"Pentane, 2,3-dichloro-",141.0415,-77.3,
600-13-5,2-Chloro-2-butenoic acdi,120.5363,99.8,
600-15-7,2-Hydroxy-butyric acid,104.1066,44.2,
600-18-0,"Butanoic acid, 2-oxo-",102.0906,33,
600-24-8,2-NITROBUTANE,103.1218,< 25,
600-30-6,"2,3-Dibromo-butyric acid",245.8992,87,
600-36-2,"2,4-DIMETHYL-3-PENTANOL",116.205,<-70,
601-75-2,ETHYLMALONIC ACID,132.1171,114,
601-77-4,DI-I-PROPYLNITROSOAMINE,130.1913,48,
601-84-3,"Benzoic acid, 2,6-dibromo-",279.9167,150.5,
601-88-7,"2,6-DICHLORO-1-NITROBENZENE",192.0023,72.5,
601-89-8,2-NITRORESORCINOL,155.1111,82,
602-01-7,"2,3-DINITROTOLUENE",182.1369,60,
602-09-5,"(1,1'-Binaphthalene)-2,2'-diol",286.3334,214-217,ALDRICH (2000)
602-21-1,"3,4,5,6-Tetrachlorophthalic acid monoethyl ester",331.9689,94.5,
602-29-9,"2,3,4-TRINITRO-toluene",227.1344,112,
602-37-9,1-Chloro-8-nitronaphthalene,207.6178,95.8,
602-38-0,"NAPHTHALENE, 1,8-DINITRO-",218.1703,173,
602-55-1,9-PHENYLANTHRACENE,254.3346,156,
602-56-2,9-Phenyl-acridine,255.3222,184,
602-60-8,"ANTHRACENE, 9-NITRO-",223.2333,146,
602-64-2,Anthragallol,256.2169,313,
602-87-9,"ACENAPHTHYLENE, 1,2-DIHYDRO-5-NITRO-",199.211,100.5,
602-92-6,"Benzoic acid, 2,6-dibromo-3,4,5-trihydroxy-",327.9149,150,
602-94-8,Pentafluorobenzoic Acid,212.0768,101,Aldrich (1998)
602-99-3,"3-METHYL-2,4,6-TRINITROPHENOL",243.1338,109.5,
603-00-9,PROXYPHYLLINE,238.2481,135.5,
603-11-2,3-NITROPHTHALIC ACID,211.1322,214 dec,
603-32-7,TRIPHENYLARSINE,306.2419,61,
603-33-8,"BISMUTHINE, TRIPHENYL-",440.3003,77.6,
603-34-9,TRIPHENYLAMINE,245.327,127,
603-35-0,TRIPHENYLPHOSPHINE,262.2941,80,
603-36-1,TRIPHENYLSTIBINE,353.0702,53.5,
603-45-2,ROSOLIC ACID,290.3216,309 dec,
603-50-9,"Phenol, 4,4'-(2-pyridinylmethylene)bis-, diaceta",361.401,133.5,
603-52-1,"N,N-Diphenyl ethylcarbamate",241.2923,72,
603-54-3,"DIPHENYL UREA, UNSYM",212.2534,189,
603-55-4,DFDD,285.1227,77,
603-62-3,3-NITROPHTHALIMIDE,192.1321,214,
603-63-4,HLORALANTIPYRINE,188.2311,68.0,
603-71-4,"Benzene, 1,3,5-trimethyl-2-nitro-",165.1935,44,
603-79-2,"2,3-Dimethylbenzoic acid",150.1789,145-147,Aldrich (1998)
603-83-8,3-Nitro-o-toluidine,152.154,92,
603-85-0,"Phenol, 2-amino-3-nitro-",154.1263,216.5,
604-53-5,"1,1'-Binaphthalene",254.3346,160,
604-61-5,"Benzoic acid, 2-benzoyl-, ethyl ester",254.2882,59.5,
604-68-2,".ALPHA.-D-GLUCOPYRANOSE, PENTAACETATE",390.3471,113.3,
604-69-3,"beta-D-glucopyranose, pentaacetate",390.3471,134,
604-75-1,OXAZEPAM,286.7201,205-206   ,
604-83-1,"PHENANTHRENE, 9,10-DIMETHYL-",206.29,144,
604-88-6,"Benzene, hexaethyl-",246.4398,129,
605-01-6,"Benzene, pentaethyl-",218.3856,<-20,
605-02-7,"NAPHTHALENE, 1-PHENYL-",204.274,45,
605-32-3,2-HYDROXYANTHRAQUINONE,224.2181,306,
605-37-8,"1,4-NAPHTHALENEDIONE, 2,3-DIHYDROXY-",190.1569,282,
605-39-0,"1,1'-BIPHENYL, 2,2'-DIMETHYL-",182.2677,19.5,
605-50-5,Isoamyl phthalate,306.4055,334 dec,
605-54-9,"1,2-Benzenedicarboxylic acid, bis(2-ethoxyethyl)",310.3501,34,
605-63-0,1-Chloro-5-nitronaphthalene,207.6178,111,
605-65-2,"1-Naphthalenesulfonyl chloride, 5-(dimethylamino",269.7519,70,
605-69-6,Martius yellow,234.1697,130-132,Aldrich (1998)
605-71-0,"NAPHTHALENE, 1,5-DINITRO-",218.1703,219,
605-94-7,"2,5-CYCLOHEXADIENE-1,4-DIONE, 2,3-DIMETHOXY-5-ME",182.1777,59-60,
605-99-2,3-METHYL URIC ACID,182.1397,>350,
